SNP cluster,Cohort,IncFIB(S),IncFII(S),IncI1-I(Alpha),IncI2(Delta),IncX1
PDS000002770.694,Control,IncFIB(S)_1,IncFII(S)_1,-,-,-
PDS000002770.694,LMF,IncFIB(S)_1,IncFII(S)_1,-,IncI2(Delta)_1,-
PDS000026945.72,Control,IncFIB(S)_1,IncFII(S)_1,-,-,IncX1_1
PDS000026945.72,LMF,IncFIB(S)_1,IncFII(S)_1,-,-,IncX1_1
PDS000065758.1669,Control,IncFIB(S)_1,IncFII(S)_1,-,-,-
PDS000065758.1669,LMF,IncFIB(S)_1,IncFII(S)_1,-,-,-
PDS000184417.155,Control,IncFIB(S)_1,IncFII(S)_1,IncI1-I(Alpha)_1,-,IncX1_1
PDS000184417.155,LMF,IncFIB(S)_1,IncFII(S)_1,-,-,-
PDS000218745.3,Control,IncFIB(S)_1,IncFII(S)_1,-,-,-
PDS000218745.3,LMF,IncFIB(S)_1,IncFII(S)_1,-,-,-
