SNP cluster,PlasmidFamily,RepliconAllele,Control,LMF
PDS000002770.694,IncFIB(S),IncFIB(S)_1__FN432031,2,3
PDS000002770.694,IncFII(S),IncFII(S)_1__CP000858,1,3
PDS000002770.694,IncI2(Delta),IncI2(Delta)_1__AP002527,0,1
PDS000026945.72,IncFIB(S),IncFIB(S)_1__FN432031,2,1
PDS000026945.72,IncFII(S),IncFII(S)_1__CP000858,2,1
PDS000026945.72,IncX1,IncX1_1__EU370913,2,2
PDS000065758.1669,IncFIB(S),IncFIB(S)_1__FN432031,6,3
PDS000065758.1669,IncFII(S),IncFII(S)_1__CP000858,6,3
PDS000184417.155,IncFIB(S),IncFIB(S)_1__FN432031,3,2
PDS000184417.155,IncFII(S),IncFII(S)_1__CP000858,3,2
PDS000184417.155,IncI1-I(Alpha),IncI1-I(Alpha)_1__AP005147,1,0
PDS000184417.155,IncX1,IncX1_1__EU370913,2,0
PDS000218745.3,IncFIB(S),IncFIB(S)_1__FN432031,15,9
PDS000218745.3,IncFII(S),IncFII(S)_1__CP000858,15,9
