locus_tag,ftype,gene,product,Sample,Plasmid_ID,is_interesting
GCA_0020382851_plasm_00001,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00002,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00003,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00004,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00005,CDS,traA,Pilin,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00006,CDS,traY,Relaxosome protein TraY,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00007,CDS,traJ,Protein TraJ,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00008,CDS,traM,Relaxosome protein TraM,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00009,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00010,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00011,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00012,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00013,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00014,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00015,CDS,umuD,Protein UmuD,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00016,CDS,umuC,Protein UmuC,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00017,CDS,virB,Virulence regulon transcriptional activator VirB,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00018,CDS,parA,Plasmid partition protein A,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00019,CDS,,ISNCY family transposase ISSen7,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00020,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00021,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00022,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00023,CDS,smc,Chromosome partition protein Smc,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00024,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00025,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00026,CDS,hin,DNA-invertase hin,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00027,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00028,CDS,,IS481 family transposase ISAzs36,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00029,CDS,,IS630 family transposase ISEc33,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00030,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00031,CDS,mkaC,Virulence genes transcriptional activator,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00032,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00033,CDS,mkaB,28.1 kDa virulence protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00034,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00035,CDS,spvB,Mono(ADP-ribosyl)transferase SpvB,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00036,CDS,spvC,MAPK phosphothreonine lyase,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00037,CDS,vsdE,Virulence protein vsdE,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00038,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00039,CDS,,IS200/IS605 family transposase ISEc46,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00040,CDS,,Invasin,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00041,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
GCA_0020382851_plasm_00042,CDS,,hypothetical protein,GCA_002038285.1,plasmid_AB461,False
