Unnamed: 0,Assembly,SNP cluster,Isolation source,Isolation type,Create date,dataset_source,Computed_serotype,is_LMF,cluster_status,Sample,IncFIB(S),IncFII(S),IncI1-I(Alpha),IncI2(Delta),IncX1,Cohort
0,GCA_008003705.1,PDS000026945.72,sichuan pepper,environmental/other,2013-11-20T06:41:47Z,LMF_file,Enteritidis,1,mixed,GCA_008003705.1,1,1,0,0,1,LMF
1,GCA_011084405.1,PDS000065758.1669,spice mixture for lahori fish,environmental/other,2015-02-11T00:08:14Z,LMF_file,Enteritidis,1,mixed,GCA_011084405.1,1,1,0,0,0,LMF
7,GCA_008025695.1,PDS000184417.155,thyme leaves,environmental/other,2015-02-10T18:10:34Z,LMF_file,Enteritidis,1,mixed,GCA_008025695.1,1,1,0,0,0,LMF
9,GCA_008005975.1,PDS000026860.270,feed,environmental/other,2015-02-10T17:09:49Z,LMF_file,Enteritidis,1,mixed,GCA_008005975.1,1,1,0,0,0,LMF
12,GCA_008116765.1,PDS000026869.554,pet treat chicken breast strip,environmental/other,2015-07-06T13:16:26Z,LMF_file,Enteritidis,1,mixed,GCA_008116765.1,0,0,0,0,1,LMF
18,GCA_008913225.1,PDS000026945.72,pet treat chicken jerky,environmental/other,2016-07-21T14:20:42Z,LMF_file,Enteritidis,1,mixed,GCA_008913225.1,0,0,0,0,1,LMF
20,GCA_003873435.1,PDS000058525.21,cake,environmental/other,2016-11-28T18:31:58Z,LMF_file,Enteritidis,1,mixed,GCA_003873435.1,1,1,0,0,0,LMF
21,GCA_009074345.1,PDS000002770.694,wheat,environmental/other,2017-02-07T20:36:53Z,LMF_file,Enteritidis,1,mixed,GCA_009074345.1,1,1,0,0,0,LMF
22,GCA_002038285.1,PDS000218745.3,cake,environmental/other,2017-03-20T13:12:41Z,LMF_file,Enteritidis,1,mixed,GCA_002038285.1,1,1,0,0,0,LMF
23,GCA_002038445.1,PDS000218745.3,cake,environmental/other,2017-03-20T13:15:22Z,LMF_file,Enteritidis,1,mixed,GCA_002038445.1,1,1,0,0,0,LMF
24,GCA_002038665.1,PDS000218745.3,cake,environmental/other,2017-03-20T13:19:16Z,LMF_file,Enteritidis,1,mixed,GCA_002038665.1,1,1,0,0,0,LMF
25,GCA_002038705.1,PDS000218745.3,cake,environmental/other,2017-03-20T13:21:08Z,LMF_file,Enteritidis,1,mixed,GCA_002038705.1,1,1,0,0,0,LMF
26,GCA_002038715.1,PDS000218745.3,cake,environmental/other,2017-03-20T13:21:15Z,LMF_file,Enteritidis,1,mixed,GCA_002038715.1,1,1,0,0,0,LMF
27,GCA_002038965.1,PDS000218745.3,cake,environmental/other,2017-03-20T13:27:12Z,LMF_file,Enteritidis,1,mixed,GCA_002038965.1,1,1,0,0,0,LMF
28,GCA_002039125.1,PDS000184417.155,cake,environmental/other,2017-03-20T13:30:06Z,LMF_file,Enteritidis,1,mixed,GCA_002039125.1,1,1,0,0,0,LMF
30,GCA_009507675.1,PDS000084711.573,snack bar,environmental/other,2017-09-26T18:36:33Z,LMF_file,Enteritidis,1,mixed,GCA_009507675.1,1,1,0,0,1,LMF
34,GCA_004227205.1,PDS000218745.3,cake,environmental/other,2018-11-09T00:42:22Z,LMF_file,Enteritidis,1,mixed,GCA_004227205.1,1,1,0,0,0,LMF
35,GCA_006002245.1,PDS000043097.1,cake,environmental/other,2019-02-01T23:56:57Z,LMF_file,Enteritidis,1,mixed,GCA_006002245.1,1,1,0,0,0,LMF
36,GCA_006144215.1,PDS000218745.3,cake,environmental/other,2019-02-15T23:21:17Z,LMF_file,Enteritidis,1,mixed,GCA_006144215.1,1,1,0,0,0,LMF
37,GCA_006076875.1,PDS000218745.3,cake,environmental/other,2019-02-15T23:21:26Z,LMF_file,Enteritidis,1,mixed,GCA_006076875.1,1,1,0,0,0,LMF
39,GCA_009618955.1,PDS000065758.1669,feed,,2019-10-13T20:33:34Z,LMF_file,Enteritidis,1,mixed,GCA_009618955.1,1,1,0,0,0,LMF
40,GCA_009624535.1,PDS000065758.1669,feed,,2019-10-13T20:33:55Z,LMF_file,Enteritidis,1,mixed,GCA_009624535.1,1,1,0,0,0,LMF
61,GCA_032592355.1,PDS000002770.694,Inshell pistachio from a storage silo,environmental/other,2023-07-07T16:43:23Z,LMF_file,Enteritidis,1,mixed,GCA_032592355.1,1,1,0,1,0,LMF
