#Organism group,Strain,Isolate identifiers,Serovar,Isolate,Create date,Location,Isolation source,Isolation type,Food origin,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,Computed types,Outbreak
"Salmonella enterica","CFSAN002044","""CFSAN002044"",""SRS397553""","Enteritidis","PDT000000117.3","2015-02-11T10:08:11Z","USA","ground turkey","environmental/other","USA:MD","PDS000032329.1",0,,"SAMN01889550","GCA_011455415.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=-:-:-,serotype=I -:-:-",
"Salmonella enterica","MDH-2013-00168","""MDH-2013-00168"",""SRS523539""","Enteritidis","PDT000002089.3","2015-02-11T17:10:02Z","USA:MN","ground turkey","environmental/other","not provided","PDS000030237.1646",1,6,"SAMN02378173","GCA_010702115.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN005967","""BCW_2585"",""CFSAN005967"",""SRS519845""","Enteritidis","PDT000002347.3","2015-12-17T20:24:37Z",,"ground chicken","environmental/other",,"PDS000083226.1089",5,8,"SAMN02368144","GCA_010532635.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN005975","""BCW_2593"",""CFSAN005975"",""SRS519852""","Enteritidis","PDT000002354.3","2015-12-17T20:24:37Z",,"ground chicken","environmental/other",,"PDS000030237.1646",2,9,"SAMN02368152","GCA_010664245.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL_SAL-A00136","""SRS528570"",""WAPHL_SAL-A00136""","Enteritidis","PDT000002537.3","2015-02-11T17:10:05Z","USA","ground chicken","environmental/other","USA:WA","PDS000030237.1646",12,7,"SAMN02182970","GCA_011460135.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL_SAL-A00161","""SRS528571"",""WAPHL_SAL-A00161""","Enteritidis","PDT000002542.3","2015-02-11T17:10:05Z","USA","ground chicken","environmental/other","USA:WA","PDS000083226.1089",1,3,"SAMN02182995","GCA_011459175.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL_SAL-A00159","""SRS528636"",""WAPHL_SAL-A00159""","Enteritidis","PDT000002608.3","2015-02-11T17:10:06Z","USA","ground chicken","environmental/other","USA:WA","PDS000083226.1089",1,3,"SAMN02182993","GCA_011459715.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","WAPHL_SAL-A00160","""SRS528665"",""WAPHL_SAL-A00160""","Enteritidis","PDT000002609.3","2015-02-11T17:10:07Z","USA","ground chicken","environmental/other","USA:WA","PDS000083226.1089",2,4,"SAMN02182994","GCA_011458855.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN005837","""BCW_2455"",""CFSAN005837"",""SRS529015""","Enteritidis","PDT000002655.3","2015-12-15T19:21:06Z",,"ground chicken","environmental/other",,"PDS000030237.1646",0,0,"SAMN02368062","GCA_010492395.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=2:g,m:-,serotype=Enteritidis",
"Salmonella enterica","CFSAN005840","""BCW_2458"",""CFSAN005840"",""SRS529018""","Enteritidis","PDT000002658.3","2015-12-15T19:21:06Z",,"ground chicken","environmental/other",,"PDS000083226.1089",0,3,"SAMN02368065","GCA_010492215.1","mdsA=COMPLETE,mdsB=COMPLETE","antigen_formula=9:g,m:-,serotype=Enteritidis",
